100
1586,915,1178,548,1539
812,194,952,500,1247
657,1537,1342,1294,1766
2034,2028,219,1644,2025
1489,2054,273,1187,1109
1204,650,967,1483,2076
1408,1905,185,1014,336
1203,659,876,1850,1971
400,1276,2110,1049,604
1550,1492,1499,1900,102
1879,832,781,346,477
366,771,190,9,1917
1446,632,519,169,1559
2139,658,499,602,1167
1655,2002,1316,1658,2025
1353,1741,234,1128,553
1590,210,323,1034,35
1143,1185,671,802,486
202,1619,1929,2051,514
2157,773,2090,196,1759
264,938,2248,609,829
1817,39,1034,2171,648
1938,2156,2078,921,136
736,1800,1764,2215,1403
743,2137,1117,1501,1331
1152,1280,239,1315,1744
615,2028,2197,1968,1342
1738,421,363,1246,769
1898,2048,1359,2162,49
511,2126,156,1914,1783
1393,559,1025,2173,1367
1258,80,314,1593,966
452,2104,184,791,2311
97,163,753,592,958
293,693,216,858,62
2279,1330,319,2197,453
2060,1164,2032,194,1971
357,764,2031,567,227
1452,1084,68,1131,858
1709,1293,1393,2004,1318
1463,521,357,1057,983
359,950,1878,382,2255
1696,2019,127,1398,1965
1780,39,509,1861,393
645,1888,2106,638,1607
1526,544,2273,1755,1819
5,1139,688,1111,670
831,1137,168,999,1178
1821,426,1259,2217,1730
2052,1074,1772,1691,1979
1530,318,2282,1800,1141
13,1349,1298,2233,1074
562,1719,1320,1573,574
669,611,501,1394,2092
1108,1643,717,706,1127
33,1001,1024,1287,1942
1100,1422,1923,343,1412
1749,1633,303,2028,285
665,303,523,887,1806
207,2068,671,1510,1273
595,347,2056,1392,756
390,523,1194,892,1833
2186,1928,1674,1487,2281
1675,438,181,1808,336
1954,2317,702,1167,1641
1134,1276,705,2020,1607
1506,826,249,2128,1469
1411,1423,351,1681,1817
1430,351,1375,1061,1528
1664,150,1393,1577,1504
263,441,1378,1143,1187
889,1782,2265,1350,1111
1667,2264,599,673,365
2147,1808,2300,616,117
1765,716,770,1793,2308
112,469,166,2192,429
1353,2149,991,2074,1405
552,1790,494,243,984
1050,1328,2297,1980,2196
1217,1021,1017,1576,1634
26,1689,243,1308,464
89,2146,458,1801,1799
2111,1263,199,1122,1669
749,1273,2059,136,621
1707,684,131,1237,1921
809,817,1647,374,895
2146,1995,687,1931,1879
1453,1677,2284,181,420
791,643,24,876,1553
970,2109,340,1618,1450
14,1954,1933,1175,1497
1820,266,2307,334,1098
1694,406,626,1804,779
763,1068,17,2003,1789
1741,1304,2115,1223,1183
1338,79,1476,361,1234
44,723,98,789,137
2094,1099,540,1227,542
732,2144,1316,928,77
905,2007,1673,488,2196
